ID	X	Y	DISTANCIA	TEMPO_BUS	TEMPO_CARRO	PRECO_BUS	PRECO_CARRO	RENDA	ESCOLHA	Prob_1_RedesNeurais
1	2.75	0.15	3.25	7.37	4.88	3	2.77	6	1	0.998
2	3	0.15	3.09	7.09	4.63	3	2.62	6	1	0.999
3	3.25	0.15	2.93	5.83	4.4	1.5	2.49	4	0	0
4	9.75	0.15	5.3	10.74	7.95	3	4.5	10	1	0.99
5	10	0.15	5.52	11.12	8.29	3	4.7	10	1	0.986
6	2.75	0.2	3.22	7.31	4.83	3	2.73	6	1	0.998
7	3	0.2	3.05	7.03	4.57	3	2.59	6	1	1
8	3.25	0.2	2.89	5.77	4.34	1.5	2.46	4	0	0
9	9.75	0.2	5.28	10.71	7.92	3	4.49	10	1	0.991
10	10	0.2	5.5	11.08	8.26	3	4.68	10	1	0.987
11	2.75	0.25	3.18	7.25	4.77	3	2.7	6	1	0.999
12	3	0.25	3.01	6.97	4.52	3	2.56	6	1	1
13	3.25	0.25	2.85	5.7	4.28	1.5	2.42	4	0	0
14	6.25	0.25	2.57	5.25	3.86	1.5	2.19	5	0	0
15	6.5	0.25	2.7	5.46	4.06	1.5	2.3	5	0	0
16	6.75	0.25	2.85	5.7	4.28	1.5	2.42	5	0	0
17	9.75	0.25	5.26	10.67	7.88	3	4.47	10	1	0.991
18	10	0.25	5.48	11.05	8.22	3	4.66	10	1	0.987
19	6.25	0.3	2.53	5.18	3.8	1.5	2.15	5	0	0
20	6.5	0.3	2.66	5.39	3.99	1.5	2.26	5	0	0
21	6.75	0.3	2.81	5.64	4.22	1.5	2.39	5	0	0
22	5.25	0.35	2.16	4.57	3.25	1.5	1.84	4	0	0
23	5.5	0.35	2.21	4.64	3.31	1.5	1.88	4	0	0
24	5.75	0.35	2.28	4.76	3.42	1.5	1.94	5	0	0
25	6.25	0.35	2.49	5.1	3.73	1.5	2.11	5	0	0
26	6.5	0.35	2.62	5.33	3.93	1.5	2.23	5	0	0
27	6.75	0.35	2.77	5.57	4.16	1.5	2.36	5	0	0
28	8.25	0.35	3.9	8.43	5.85	3	3.31	8	1	0.998
29	8.5	0.35	4.11	8.78	6.16	3	3.49	9	1	0.997
30	8.75	0.35	4.32	9.13	6.48	3	3.67	9	1	0.996
31	5.25	0.4	2.11	4.49	3.17	1.5	1.8	4	0	0
32	5.5	0.4	2.16	4.56	3.24	1.5	1.83	4	0	0
