x	y	Avg_Tot_auto	Count	Avg_total_viag	viag_auto_viag_total
327013.4079	7379573.586	0	0	0	0
327189.8817	7379511.328	0	0	0	0
326901.4672	7379927.496	0	0	0	0
327277.8438	7379868.054	0	0	0	0
327656.1453	7379990.359	0	0	0	0
326431.9364	7380471.25	0	0	0	0
326787.8589	7380365.8	0	0	0	0
327284.0048	7380362	8	1	8	1
327778.7238	7380367.456	1	10	5.6	0.178571429
328234.7251	7380485.556	4	1	4	1
328614.9799	7380572.27	6	1	7	0.857142857
326008.9346	7381062.537	0	0	0	0
326315.0501	7380884.684	0	0	0	0
326784.0048	7380862	0	0	0	0
327284.0048	7380862	5	10	7.6	0.657894737
327784.0048	7380862	2.5	12	7.833333	0.31914895
328284.0048	7380862	4.666667	9	5.555556	0.839999993
328714.792	7380886.074	4.526316	19	5.052632	0.8958333
330015.2224	7381099.093	0	0	0	0
330339.7464	7381001.202	4	2	6	0.666666667
330669.6706	7380950.663	0	1	8	0
325913.475	7381414.744	0	0	0	0
326284.0048	7381362	0	0	0	0
326784.0048	7381362	0	1	4	0
327284.0048	7381362	6.3	10	8.6	0.73255814
327784.0048	7381362	2	4	4.25	0.470588235
328284.0048	7381362	4.571429	7	5.428571	0.842105409
328723.5178	7381360.938	4.75	4	5.25	0.904761905
329447.8809	7381532.577	2	1	4	0.5
329826.2796	7381419.897	4	2	4	1
330284.0048	7381362	3.5	6	3.833333	0.913043558
330770.3888	7381373.829	7	3	7	1
331070.2655	7381533.88	0	0	0	0
325482.2722	7382040.792	0	0	0	0
325802.5945	7381876.295	0	1	4	0
326284.0048	7381862	0	0	0	0
326784.0048	7381862	1.333333	3	2.666667	0.499999813
327284.0048	7381862	2.705882	17	5.705882	0.474226772
327784.0048	7381862	3.789474	19	6.052632	0.626086965
328284.0048	7381862	4.916667	12	5.916667	0.830985925
328767.3628	7381876.435	4.666667	3	5	0.9333334
329295.1534	7381875.368	6.8	5	7.2	0.944444444
329784.0048	7381862	6.6	5	7.2	0.916666667
330284.0048	7381862	3.8	5	5	0.76
330780.9679	7381836.655	4	2	9	0.444444444
331089.3726	7381861.253	0	0	0	0
324941.4791	7382550.421	0	0	0	0
325325.2654	7382407.026	0	0	0	0
325784.0048	7382362	7	8	9.875	0.708860759
326284.0048	7382362	4.25	8	7.125	0.596491228
326784.0048	7382362	3.833333	6	6.166667	0.621621534
327284.0048	7382362	3.473684	19	5.473684	0.634615371
327784.0048	7382362	4.5	10	6.3	0.714285714
328284.0048	7382362	4	1	4	1
328784.0048	7382362	0	0	0	0
329284.0048	7382362	9.083333	12	9.75	0.931623897
329784.0048	7382362	9	4	9.25	0.972972973
330246.5334	7382348.966	4	1	4	1
330550.9091	7382136.184	0	0	0	0
331515.3533	7382520.172	0	0	0	0
331555.3206	7382519.314	0	0	0	0
324461.1347	7383019.405	0	0	0	0
324802.0296	7382880.041	1.777778	9	3.777778	0.470588266
325284.0048	7382862	4.9	10	6.6	0.742424242
325784.0048	7382862	3.272727	11	6.818182	0.479999947
326284.0048	7382862	3.642857	14	5.857143	0.62195118
326784.0048	7382862	5.066667	15	8	0.633333375
327284.0048	7382862	3.166667	6	5	0.6333334
327784.0048	7382862	5.25	8	7.25	0.724137931
328284.0048	7382862	4.75	8	11.375	0.417582418
328784.0048	7382862	3.666667	3	3.666667	1
329284.0048	7382862	2.8	5	3.6	0.777777778
329784.0048	7382862	2	2	2	1
330281.9184	7382864.249	0	5	8.4	0
330771.1148	7382910.384	0.666667	9	3.666667	0.181818256
331289.0148	7382893.18	0	2	6	0
331688.1801	7382918.36	0	3	5.666667	0
332393.2418	7382986.732	0	0	0	0
332597.5794	7383007.454	0	0	0	0
333441.5281	7383095.537	0	0	0	0
324011.0283	7383564.932	0	0	0	0
324322.9857	7383394.341	0	0	0	0
324784.0048	7383362	3.222222	9	4.111111	0.783783751
325284.0048	7383362	2.714286	7	5.428571	0.500000092
325784.0048	7383362	1.285714	7	5.428571	0.236842071
326284.0048	7383362	3	9	7	0.428571429
326784.0048	7383362	1.875	8	5.5	0.340909091
327284.0048	7383362	3.2	10	4.9	0.653061224
327784.0048	7383362	0	0	0	0
328284.0048	7383362	0	0	0	0
328784.0048	7383362	1.555556	9	4.666667	0.333333405
329284.0048	7383362	3.5	2	4	0.875
329784.0048	7383362	3.571429	7	8.428571	0.423728886
330284.0048	7383362	0.818182	11	6.727273	0.121621644
330784.0048	7383362	0.833333	6	5.5	0.151515091
331284.0048	7383362	0	5	6.6	0
331771.9369	7383374.42	0	5	3.6	0
332288.9181	7383367.673	0	2	3.5	0
332740.3739	7383427.961	4	1	4	1
333310.4166	7383427.846	6.25	4	8.25	0.757575758
333626.1524	7383446.237	0	0	0	0
323951.2637	7383913.218	0	0	0	0
324284.0048	7383862	1.428571	7	4.428571	0.32258058
324784.0048	7383862	2.818182	11	4.181818	0.673913116
325284.0048	7383862	5.125	8	5.875	0.872340426
325784.0048	7383862	6.777778	9	9.555556	0.709302316
326284.0048	7383862	3.923077	13	7.769231	0.50495049
326784.0048	7383862	3.636364	22	7.272727	0.500000069
327284.0048	7383862	1.25	8	4.125	0.303030303
327784.0048	7383862	5.5	2	8.5	0.647058824
328284.0048	7383862	0	1	2	0
328784.0048	7383862	1.909091	11	5.545455	0.344262283
329284.0048	7383862	6.142857	7	8.428571	0.728813579
329784.0048	7383862	0.4	10	5.4	0.074074074
330284.0048	7383862	2.2	10	7.2	0.305555556
330784.0048	7383862	0	4	5.5	0
331284.0048	7383862	1.2	15	7.2	0.166666667
331784.0048	7383862	0.7	10	4.5	0.155555556
332284.0048	7383862	0	10	5.4	0
332784.0048	7383862	4	2	5	0.8
333284.0048	7383862	7	2	8.5	0.823529412
333775.75	7383879.849	0	0	0	0
334169.6581	7383864.096	0	0	0	0
321953.3993	7384521.348	0	0	0	0
322294.3551	7384488.352	0.571429	14	6.071429	0.094117711
322799.5275	7384436.664	0	0	0	0
323292.5593	7384384.3	0.807692	26	5.884615	0.137254859
323784.0407	7384362.037	0.8	5	5.2	0.153846154
324284.0048	7384362	1.333333	3	8	0.166666625
324784.0048	7384362	1.4	5	7.2	0.194444444
325284.0048	7384362	0.285714	7	5.428571	0.05263153
325784.0048	7384362	0	2	3	0
326284.0048	7384362	1.428571	7	5.285714	0.270270204
326784.0048	7384362	1.526316	19	6.894737	0.221374071
327284.0048	7384362	1.5	2	2.5	0.6
327784.0048	7384362	1.125	8	4.5	0.25
328284.0048	7384362	2	1	2	1
328784.0048	7384362	2	12	7.5	0.266666667
329284.0048	7384362	2.833333	24	8.875	0.319248789
329784.0048	7384362	0.777778	9	6.222222	0.12500004
330284.0048	7384362	0.2	5	8.6	0.023255814
330784.0048	7384362	0	3	9.333333	0
331284.0048	7384362	0.545455	11	6.090909	0.089552315
331784.0048	7384362	1.444444	9	6.777778	0.213114682
332284.0048	7384362	1.5	8	8.375	0.179104478
332784.0048	7384362	4	4	7.75	0.516129032
333284.0048	7384362	6.142857	7	7	0.877551
333783.4345	7384361.479	10	1	16	0.625
334079.0244	7384265.045	0	0	0	0
322339.7639	7384827.848	0.666667	6	4.5	0.148148222
322784.0048	7384862	0.875	8	5.375	0.162790698
323284.0048	7384862	1	3	4	0.25
323784.0048	7384862	0	0	0	0
324284.0048	7384862	0	0	0	0
324784.0048	7384862	0	1	10	0
325284.0048	7384862	1.166667	6	6.333333	0.184210589
325784.0048	7384862	1	4	4.5	0.222222222
326284.0048	7384862	1	1	2	0.5
326784.0048	7384862	0.8	5	4.6	0.173913043
327284.0048	7384862	1.857143	14	5.142857	0.361111149
327784.0048	7384862	2.4	5	10	0.24
328284.0048	7384862	0.333333	3	3.333333	0.09999991
328784.0048	7384862	1	1	3	0.333333333
329284.0048	7384862	3.454545	11	6.090909	0.567164113
329784.0048	7384862	0.928571	14	6.285714	0.147727211
330284.0048	7384862	0.285714	7	3.142857	0.090909004
330784.0048	7384862	0	10	7	0
331284.0048	7384862	0	7	9.428571	0
331784.0048	7384862	1.5	2	6	0.25
332284.0048	7384862	0.333333	6	6	0.0555555
332784.0048	7384862	5.25	8	8.5	0.617647059
333284.0048	7384862	4.933333	15	7.666667	0.643478189
333781.7645	7384863.59	2	1	2	1
334202.0372	7385020.66	0	0	0	0
334949.3037	7385069.757	2	1	6	0.333333333
335372.9156	7384989.577	3.333333	3	5.333333	0.624999977
335599.8967	7384944.647	0	0	0	0
322419.2232	7385397.173	0	0	0	0
322784.0048	7385362	0.666667	9	5.333333	0.12500007
323284.0048	7385362	0.75	8	5.25	0.142857143
323784.0048	7385362	3	5	10.6	0.283018868
324284.0048	7385362	0	0	0	0
324784.0048	7385362	0	0	0	0
325284.0048	7385362	0	4	6	0
325784.0048	7385362	1.333333	3	4.666667	0.285714194
326284.0048	7385362	1.375	8	6.75	0.203703704
326784.0048	7385362	2.5	6	6.5	0.384615385
327284.0048	7385362	1	18	6.944444	0.144000009
327784.0048	7385362	1.5	16	4	0.375
328284.0048	7385362	4.285714	14	8.642857	0.495867744
328784.0048	7385362	1.6	10	5.5	0.290909091
329284.0048	7385362	2.916667	12	6.416667	0.454545483
329784.0048	7385362	1.25	16	6.0625	0.206185567
330284.0048	7385362	0.142857	14	5	0.0285714
330784.0048	7385362	1.666667	6	10.5	0.15873019
331284.0048	7385362	0	1	11	0
331784.0048	7385362	3.333333	3	6.666667	0.499999925
332284.0048	7385362	6	2	9	0.666666667
332784.0048	7385362	4.416667	12	6.666667	0.662500017
333284.0048	7385362	4.5	6	8.333333	0.540000022
333784.0048	7385362	3	2	5	0.6
334284.0048	7385362	2.4	5	3.2	0.75
334785.999	7385369.713	4	1	10	0.4
335284.0048	7385362	6	4	7	0.857142857
335686.2868	7385390.679	3.333333	3	3.666667	0.909090736
322008.8926	7386061.108	0	0	0	0
322309.446	7385880.084	0	1	4	0
322784.0048	7385862	1.166667	6	4.166667	0.280000058
323284.0048	7385862	2.470588	17	6.941176	0.355932194
323784.0048	7385862	0.818182	11	4.181818	0.195652226
324284.0048	7385862	5.5	2	7	0.785714286
324784.0048	7385862	0	0	0	0
325284.0048	7385862	0	0	0	0
325784.0048	7385862	3.5	4	4	0.875
326284.0048	7385862	3.857143	7	9	0.428571444
326784.0048	7385862	2.75	8	6.625	0.41509434
327284.0048	7385862	1.222222	9	7.888889	0.154929547
327784.0048	7385862	0.909091	11	4.545455	0.2
328284.0048	7385862	2.833333	6	4.666667	0.607142742
328784.0048	7385862	2.4	10	7.1	0.338028169
329284.0048	7385862	1.818182	11	8.363636	0.217391336
329784.0048	7385862	1.384615	13	6.153846	0.224999943
